date,open_price,high_price,low_price,price,volume
2025-08-18,856.9424560582937,856.9424560582937,856.9424560582937,856.9424560582937,1237130937.218746
2025-08-19,848.2298792758197,848.2298792758197,848.2298792758197,848.2298792758197,1704077250.468268
2025-08-20,823.4566682430556,823.4566682430556,823.4566682430556,823.4566682430556,1577237801.835062
2025-08-21,870.0388548973078,870.0388548973078,870.0388548973078,870.0388548973078,2208912960.725439
2025-08-22,838.3671602294102,838.3671602294102,838.3671602294102,838.3671602294102,1808794551.8255882
2025-08-23,899.0447590707095,899.0447590707095,899.0447590707095,899.0447590707095,2403982643.652437
2025-08-24,880.2145462822662,880.2145462822662,880.2145462822662,880.2145462822662,1414960204.0565426
2025-08-25,876.0729413672346,876.0729413672346,876.0729413672346,876.0729413672346,1862920203.9639418
2025-08-26,840.2868104582814,840.2868104582814,840.2868104582814,840.2868104582814,1739476008.2601202
2025-08-27,864.1213024474413,864.1213024474413,864.1213024474413,864.1213024474413,1565511904.048617
2025-08-28,856.0552312979237,856.0552312979237,856.0552312979237,856.0552312979237,1274918054.4266574
2025-08-29,874.7487534677291,874.7487534677291,874.7487534677291,874.7487534677291,1665085112.0571768
2025-08-30,863.6575485254209,863.6575485254209,863.6575485254209,863.6575485254209,1531055975.6867678
2025-08-31,861.923469050824,861.923469050824,861.923469050824,861.923469050824,732100562.508858
2025-09-01,857.819601972643,857.819601972643,857.819601972643,857.819601972643,721993472.2873288
2025-09-02,845.916487927506,845.916487927506,845.916487927506,845.916487927506,1648305723.808358
2025-09-03,851.6937445280856,851.6937445280856,851.6937445280856,851.6937445280856,1322521810.3871567
2025-09-04,855.1110256828161,855.1110256828161,855.1110256828161,855.1110256828161,859226298.816796
2025-09-05,843.6735934362805,843.6735934362805,843.6735934362805,843.6735934362805,916745033.758285
2025-09-06,849.7184902459278,849.7184902459278,849.7184902459278,849.7184902459278,987362929.2356554
2025-09-07,861.6639369838142,861.6639369838142,861.6639369838142,861.6639369838142,841058634.1628499
2025-09-08,881.3845363246559,881.3845363246559,881.3845363246559,881.3845363246559,923155920.7210786
2025-09-09,878.2339242329539,878.2339242329539,878.2339242329539,878.2339242329539,1204256444.2143743
2025-09-10,879.833817211316,879.833817211316,879.833817211316,879.833817211316,1062899360.6770087
2025-09-11,893.578793274879,893.578793274879,893.578793274879,893.578793274879,1801977169.8109913
2025-09-12,902.876846974473,902.876846974473,902.876846974473,902.876846974473,1258971255.576734
2025-09-13,925.1660418381477,925.1660418381477,925.1660418381477,925.1660418381477,1589605226.0339465
2025-09-14,933.8971704994946,933.8971704994946,933.8971704994946,933.8971704994946,1640112370.864308
2025-09-15,926.8412817390542,926.8412817390542,926.8412817390542,926.8412817390542,1263377077.0891886
2025-09-16,919.2250351484705,919.2250351484705,919.2250351484705,919.2250351484705,1372293507.033996
2025-09-17,955.3487499241552,955.3487499241552,955.3487499241552,955.3487499241552,1924151991.340504
2025-09-18,991.3973181432295,991.3973181432295,991.3973181432295,991.3973181432295,2455896970.1542788
2025-09-19,982.076570691383,982.076570691383,982.076570691383,982.076570691383,2514178578.723519
2025-09-20,982.6879738189483,982.6879738189483,982.6879738189483,982.6879738189483,2194041676.02945
2025-09-21,1042.406078066426,1042.406078066426,1042.406078066426,1042.406078066426,2616933161.676639
2025-09-22,1048.5649851048527,1048.5649851048527,1048.5649851048527,1048.5649851048527,3053430923.1205482
2025-09-23,992.3881905006706,992.3881905006706,992.3881905006706,992.3881905006706,3676969354.8492184
2025-09-24,1017.4645009307637,1017.4645009307637,1017.4645009307637,1017.4645009307637,2922340144.9194756
2025-09-25,1018.067792712729,1018.067792712729,1018.067792712729,1018.067792712729,2488968495.0372467
2025-09-26,944.4003758447785,944.4003758447785,944.4003758447785,944.4003758447785,3413861577.3788505
2025-09-27,960.6805874196078,960.6805874196078,960.6805874196078,960.6805874196078,2464135246.7217975
2025-09-28,968.6806715896132,968.6806715896132,968.6806715896132,968.6806715896132,1580796543.5155156
2025-09-29,993.2079048442275,993.2079048442275,993.2079048442275,993.2079048442275,1062584120.7976861
2025-09-30,1030.030963111487,1030.030963111487,1030.030963111487,1030.030963111487,2136154304.7482347
2025-10-01,1008.9225311714104,1008.9225311714104,1008.9225311714104,1008.9225311714104,1848197871.390849
2025-10-02,1025.8187850123247,1025.8187850123247,1025.8187850123247,1025.8187850123247,1942259015.308578
2025-10-03,1090.3115640663682,1090.3115640663682,1090.3115640663682,1090.3115640663682,2670147496.089171
2025-10-04,1190.0540938314145,1190.0540938314145,1190.0540938314145,1190.0540938314145,4899140228.342193
2025-10-05,1149.536376093483,1149.536376093483,1149.536376093483,1149.536376093483,1730597418.8329225
2025-10-06,1165.4778023162069,1165.4778023162069,1165.4778023162069,1165.4778023162069,2435796155.3750944
2025-10-07,1224.574210222444,1224.574210222444,1224.574210222444,1224.574210222444,4284366311.1491776
2025-10-08,1311.712914691701,1311.712914691701,1311.712914691701,1311.712914691701,9739890116.464443
2025-10-09,1306.4812320510532,1306.4812320510532,1306.4812320510532,1306.4812320510532,5632418876.319237
2025-10-10,1255.8786646242372,1255.8786646242372,1255.8786646242372,1255.8786646242372,6718668117.932197
2025-10-11,1110.8141755974673,1110.8141755974673,1110.8141755974673,1110.8141755974673,8685141976.344122
2025-10-12,1138.1246823442061,1138.1246823442061,1138.1246823442061,1138.1246823442061,6948428633.056303
2025-10-13,1298.7908005975073,1298.7908005975073,1298.7908005975073,1298.7908005975073,9048144207.208094
2025-10-14,1293.0722313476617,1293.0722313476617,1293.0722313476617,1293.0722313476617,9460068400.641727
2025-10-15,1212.283351974494,1212.283351974494,1212.283351974494,1212.283351974494,8825438559.50392
2025-10-16,1161.734804798178,1161.734804798178,1161.734804798178,1161.734804798178,4682445531.806146
2025-10-17,1143.731369922843,1143.731369922843,1143.731369922843,1143.731369922843,4415901608.8116665
2025-10-18,1071.5486432574182,1071.5486432574182,1071.5486432574182,1071.5486432574182,5491967100.574252
2025-10-19,1092.456873698318,1092.456873698318,1092.456873698318,1092.456873698318,2404645661.2866297
2025-10-20,1109.7463758132928,1109.7463758132928,1109.7463758132928,1109.7463758132928,2451498835.8070607
2025-10-21,1100.594219041398,1100.594219041398,1100.594219041398,1100.594219041398,3059042679.759334
2025-10-22,1057.8502060144851,1057.8502060144851,1057.8502060144851,1057.8502060144851,3312841993.6151514
2025-10-23,1071.3354220022431,1071.3354220022431,1071.3354220022431,1071.3354220022431,2524047906.4061713
2025-10-24,1127.358071433892,1127.358071433892,1127.358071433892,1127.358071433892,4658465652.115295
2025-10-25,1109.178393744721,1109.178393744721,1109.178393744721,1109.178393744721,2264878475.243278
2025-10-26,1116.6415202338756,1116.6415202338756,1116.6415202338756,1116.6415202338756,1179990839.9169848
2025-10-27,1136.879092448019,1136.879092448019,1136.879092448019,1136.879092448019,1658756855.7714329
2025-10-28,1140.4846092726004,1140.4846092726004,1140.4846092726004,1140.4846092726004,3216378789.247939
2025-10-29,1103.595300080196,1103.595300080196,1103.595300080196,1103.595300080196,3071983545.353561
2025-10-30,1106.7871126244677,1106.7871126244677,1106.7871126244677,1106.7871126244677,3099158245.6172895
2025-10-31,1078.7188521029816,1078.7188521029816,1078.7188521029816,1078.7188521029816,3106355168.6806374
2025-11-01,1088.7331766998475,1088.7331766998475,1088.7331766998475,1088.7331766998475,3113520722.1821284
